"state","puma2k","zcta5","stab","zipname","PUMA2kName","pop10","afact"
"State code","PUMA (2000)","ZIP census tabulation area","State abbreviation","ZCTA name","PUMA 2K name","Population (2010)","puma2k to zcta5 allocation factor"
"01","00100","35610","AL","Anderson, AL","0100100",1784,0.012 
"01","00100","35614","AL","Athens, AL","0100100",7,0 
"01","00100","35616","AL","Cherokee, AL","0100100",4043,0.027 
"01","00100","35630","AL","Florence, AL","0100100",32629,0.222 
"01","00100","35633","AL","Florence, AL","0100100",20877,0.142 
"01","00100","35634","AL","Florence, AL","0100100",9711,0.066 
"01","00100","35645","AL","Killen, AL","0100100",14060,0.096 
"01","00100","35646","AL","Leighton, AL","0100100",4635,0.032 
"01","00100","35648","AL","Lexington, AL","0100100",3635,0.025 
"01","00100","35652","AL","Rogersville, AL","0100100",8085,0.055 
"01","00100","35653","AL","Russellville, AL","0100100",280,0.002 
"01","00100","35654","AL","Russellville, AL","0100100",1158,0.008 
"01","00100","35660","AL","Sheffield, AL","0100100",9042,0.061 
"01","00100","35661","AL","Muscle Shoals, AL","0100100",16617,0.113 
"01","00100","35672","AL","Town Creek, AL","0100100",127,0.001 
"01","00100","35674","AL","Tuscumbia, AL","0100100",18475,0.126 
"01","00100","35677","AL","Waterloo, AL","0100100",1921,0.013 
"01","00100","38852","AL","Iuka, MS","0100100",51,0 
"01","00200","35741","AL","Huntsville, AL","0100200",1505,0.009 
"01","00200","35748","AL","Gurley, AL","0100200",23,0 
"01","00200","35749","AL","Harvest, AL","0100200",65,0 
"01","00200","35756","AL","Madison, AL","0100200",178,0.001 
"01","00200","35757","AL","Madison, AL","0100200",1984,0.011 
"01","00200","35758","AL","Madison, AL","0100200",1201,0.007 
"01","00200","35759","AL","Meridianville, AL","0100200",99,0.001 
"01","00200","35763","AL","Huntsville, AL","0100200",8381,0.048 
"01","00200","35773","AL","Toney, AL","0100200",109,0.001 
"01","00200","35801","AL","Huntsville, AL","0100200",21502,0.124 
"01","00200","35802","AL","Huntsville, AL","0100200",21232,0.122 
"01","00200","35803","AL","Huntsville, AL","0100200",24416,0.141 
"01","00200","35805","AL","Huntsville, AL","0100200",22157,0.128 
"01","00200","35806","AL","Huntsville, AL","0100200",10388,0.06 
"01","00200","35810","AL","Huntsville, AL","0100200",28943,0.167 
"01","00200","35811","AL","Huntsville, AL","0100200",9594,0.055 
"01","00200","35816","AL","Huntsville, AL","0100200",15228,0.088 
"01","00200","35824","AL","Huntsville, AL","0100200",5991,0.035 
"01","00200","35896","AL","Huntsville, AL","0100200",636,0.004 
"01","00300","35610","AL","Anderson, AL","0100300",468,0.002 
"01","00300","35611","AL","Athens, AL","0100300",25251,0.104 
"01","00300","35613","AL","Athens, AL","0100300",20546,0.084 
"01","00300","35614","AL","Athens, AL","0100300",7449,0.031 
"01","00300","35615","AL","Belle Mina, AL (PO Boxes)","0100300",68,0 
"01","00300","35620","AL","Elkmont, AL","0100300",8868,0.036 
"01","00300","35647","AL","Lester, AL","0100300",1030,0.004 
"01","00300","35649","AL","Mooresville, AL","0100300",68,0 
"01","00300","35652","AL","Rogersville, AL","0100300",105,0 
"01","00300","35671","AL","Tanner, AL","0100300",2107,0.009 
"01","00300","35739","AL","Ardmore, AL","0100300",5146,0.021 
"01","00300","35741","AL","Huntsville, AL","0100300",1428,0.006 
"01","00300","35748","AL","Gurley, AL","0100300",6077,0.025 
"01","00300","35749","AL","Harvest, AL","0100300",20510,0.084 
"01","00300","35750","AL","Hazel Green, AL","0100300",12783,0.052 
"01","00300","35756","AL","Madison, AL","0100300",8838,0.036 
"01","00300","35757","AL","Madison, AL","0100300",10856,0.044 
"01","00300","35758","AL","Madison, AL","0100300",40674,0.167 
"01","00300","35759","AL","Meridianville, AL","0100300",6307,0.026 
"01","00300","35760","AL","New Hope, AL","0100300",4879,0.02 
"01","00300","35761","AL","New Market, AL","0100300",11630,0.048 
"01","00300","35763","AL","Huntsville, AL","0100300",5835,0.024 
"01","00300","35773","AL","Toney, AL","0100300",12909,0.053 
"01","00300","35776","AL","Woodville, AL","0100300",38,0 
"01","00300","35801","AL","Huntsville, AL","0100300",7,0 
"01","00300","35802","AL","Huntsville, AL","0100300",65,0 
"01","00300","35803","AL","Huntsville, AL","0100300",1055,0.004 
"01","00300","35805","AL","Huntsville, AL","0100300",341,0.001 
"01","00300","35806","AL","Huntsville, AL","0100300",8563,0.035 
"01","00300","35808","AL","Redstone Arsenal, AL","0100300",1946,0.008 
"01","00300","35810","AL","Huntsville, AL","0100300",1674,0.007 
"01","00300","35811","AL","Huntsville, AL","0100300",16361,0.067 
"01","00300","35824","AL","Huntsville, AL","0100300",79,0 
"01","00400","35740","AL","Bridgeport, AL","0100400",3482,0.028 
"01","00400","35744","AL","Dutton, AL","0100400",2570,0.021 
"01","00400","35745","AL","Estillfork, AL","0100400",288,0.002 
"01","00400","35746","AL","Fackler, AL","0100400",856,0.007 
"01","00400","35748","AL","Gurley, AL","0100400",176,0.001 
"01","00400","35751","AL","Hollytree, AL (PO Boxes)","0100400",265,0.002 
"01","00400","35752","AL","Hollywood, AL","0100400",2047,0.016 
"01","00400","35755","AL","Langston, AL","0100400",268,0.002 
"01","00400","35764","AL","Paint Rock, AL","0100400",653,0.005 
"01","00400","35765","AL","Pisgah, AL","0100400",4013,0.032 
"01","00400","35766","AL","Princeton, AL (PO Boxes)","0100400",150,0.001 
"01","00400","35768","AL","Scottsboro, AL","0100400",11581,0.093 
"01","00400","35769","AL","Scottsboro, AL","0100400",7765,0.062 
"01","00400","35771","AL","Section, AL","0100400",3645,0.029 
"01","00400","35772","AL","Stevenson, AL","0100400",4908,0.039 
"01","00400","35774","AL","Trenton, AL (PO Boxes)","0100400",165,0.001 
"01","00400","35776","AL","Woodville, AL","0100400",2969,0.024 
"01","00400","35951","AL","Albertville, AL","0100400",1920,0.015 
"01","00400","35954","AL","Attalla, AL","0100400",76,0.001 
"01","00400","35957","AL","Boaz, AL","0100400",1867,0.015 
"01","00400","35958","AL","Bryant, AL","0100400",3582,0.029 
"01","00400","35961","AL","Collinsville, AL","0100400",5444,0.044 
"01","00400","35962","AL","Crossville, AL","0100400",7871,0.063 
"01","00400","35963","AL","Dawson, AL","0100400",1704,0.014 
"01","00400","35966","AL","Flat Rock, AL","0100400",3914,0.031 
"01","00400","35967","AL","Fort Payne, AL","0100400",16292,0.131 
"01","00400","35968","AL","Fort Payne, AL","0100400",4575,0.037 
"01","00400","35971","AL","Fyffe, AL","0100400",4914,0.04 
"01","00400","35974","AL","Geraldine, AL","0100400",1589,0.013 
"01","00400","35975","AL","Groveoak, AL (PO Boxes)","0100400",962,0.008 
"01","00400","35978","AL","Henagar, AL","0100400",5390,0.043 
"01","00400","35979","AL","Higdon, AL","0100400",1398,0.011 
"01","00400","35981","AL","Ider, AL","0100400",2141,0.017 
"01","00400","35984","AL","Mentone, AL","0100400",1639,0.013 
"01","00400","35986","AL","Rainsville, AL","0100400",7744,0.062 
"01","00400","35988","AL","Sylvania, AL","0100400",1940,0.016 
"01","00400","35989","AL","Valley Head, AL","0100400",3573,0.029 
"01","00500","35016","AL","Arab, AL","0100500",16480,0.083 
"01","00500","35019","AL","Baileyton, AL","0100500",1662,0.008 
"01","00500","35033","AL","Bremen, AL","0100500",3093,0.016 
"01","00500","35053","AL","Crane Hill, AL","0100500",2617,0.013 
"01","00500","35055","AL","Cullman, AL","0100500",19427,0.098 
"01","00500","35057","AL","Cullman, AL","0100500",12630,0.064 
"01","00500","35058","AL","Cullman, AL","0100500",9936,0.05 
"01","00500","35070","AL","Garden City, AL","0100500",265,0.001 
"01","00500","35077","AL","Hanceville, AL","0100500",13142,0.066 
"01","00500","35083","AL","Holly Pond, AL","0100500",3268,0.017 
"01","00500","35087","AL","Joppa, AL","0100500",1225,0.006 
"01","00500","35098","AL","Logan, AL","0100500",1375,0.007 
"01","00500","35175","AL","Union Grove, AL","0100500",3882,0.02 
"01","00500","35179","AL","Vinemont, AL","0100500",8826,0.045 
"01","00500","35503","AL","Jasper, AL","0100500",391,0.002 
"01","00500","35540","AL","Addison, AL","0100500",2415,0.012 
"01","00500","35541","AL","Arley, AL","0100500",3597,0.018 
"01","00500","35553","AL","Double Springs, AL","0100500",4680,0.024 
"01","00500","35565","AL","Haleyville, AL","0100500",9786,0.049 
"01","00500","35572","AL","Houston, AL","0100500",1131,0.006 
"01","00500","35575","AL","Lynn, AL","0100500",1018,0.005 
"01","00500","35577","AL","Natural Bridge, AL","0100500",38,0 
"01","00500","35578","AL","Nauvoo, AL","0100500",890,0.004 
"01","00500","35619","AL","Danville, AL","0100500",10,0 
"01","00500","35621","AL","Eva, AL","0100500",137,0.001 
"01","00500","35622","AL","Falkville, AL","0100500",1531,0.008 
"01","00500","35747","AL","Grant, AL","0100500",5901,0.03 
"01","00500","35754","AL","Laceys Spring, AL","0100500",70,0 
"01","00500","35755","AL","Langston, AL","0100500",318,0.002 
"01","00500","35760","AL","New Hope, AL","0100500",186,0.001 
"01","00500","35769","AL","Scottsboro, AL","0100500",1772,0.009 
"01","00500","35776","AL","Woodville, AL","0100500",388,0.002 
"01","00500","35950","AL","Albertville, AL","0100500",20826,0.105 
"01","00500","35951","AL","Albertville, AL","0100500",11178,0.056 
"01","00500","35957","AL","Boaz, AL","0100500",13447,0.068 
"01","00500","35962","AL","Crossville, AL","0100500",429,0.002 
"01","00500","35975","AL","Groveoak, AL (PO Boxes)","0100500",96,0 
"01","00500","35976","AL","Guntersville, AL","0100500",15915,0.08 
"01","00500","35980","AL","Horton, AL","0100500",3931,0.02 
"01","00600","35019","AL","Baileyton, AL","0100600",455,0.003 
"01","00600","35087","AL","Joppa, AL","0100600",890,0.006 
"01","00600","35175","AL","Union Grove, AL","0100600",1159,0.008 
"01","00600","35179","AL","Vinemont, AL","0100600",132,0.001 
"01","00600","35565","AL","Haleyville, AL","0100600",17,0 
"01","00600","35601","AL","Decatur, AL","0100600",34434,0.224 
"01","00600","35603","AL","Decatur, AL","0100600",30545,0.199 
"01","00600","35618","AL","North Courtland, AL","0100600",1870,0.012 
"01","00600","35619","AL","Danville, AL","0100600",5125,0.033 
"01","00600","35621","AL","Eva, AL","0100600",2715,0.018 
"01","00600","35622","AL","Falkville, AL","0100600",5857,0.038 
"01","00600","35640","AL","Hartselle, AL","0100600",24267,0.158 
"01","00600","35643","AL","Hillsboro, AL","0100600",2941,0.019 
"01","00600","35650","AL","Moulton, AL","0100600",13971,0.091 
"01","00600","35651","AL","Mount Hope, AL","0100600",1312,0.009 
"01","00600","35654","AL","Russellville, AL","0100600",18,0 
"01","00600","35670","AL","Somerville, AL","0100600",7676,0.05 
"01","00600","35672","AL","Town Creek, AL","0100600",6318,0.041 
"01","00600","35673","AL","Trinity, AL","0100600",8199,0.053 
"01","00600","35754","AL","Laceys Spring, AL","0100600",5292,0.034 
"01","00600","35775","AL","Valhermoso Springs, AL","0100600",636,0.004 
"01","00700","35442","AL","Aliceville, AL","0100700",4933,0.039 
"01","00700","35447","AL","Carrollton, AL","0100700",3460,0.027 
"01","00700","35459","AL","Emelle, AL","0100700",872,0.007 
"01","00700","35460","AL","Epes, AL","0100700",834,0.007 
"01","00700","35461","AL","Ethelsville, AL","0100700",1952,0.015 
"01","00700","35464","AL","Gainesville, AL","0100700",520,0.004 
"01","00700","35466","AL","Gordo, AL","0100700",5385,0.042 
"01","00700","35470","AL","Livingston, AL","0100700",5468,0.043 
"01","00700","35477","AL","Panola, AL (PO Boxes)","0100700",335,0.003 
"01","00700","35481","AL","Reform, AL","0100700",3668,0.029 
"01","00700","35542","AL","Bankston, AL","0100700",1021,0.008 
"01","00700","35543","AL","Bear Creek, AL","0100700",1137,0.009 
"01","00700","35544","AL","Beaverton, AL","0100700",673,0.005 
"01","00700","35545","AL","Belk, AL","0100700",100,0.001 
"01","00700","35546","AL","Berry, AL","0100700",2516,0.02 
"01","00700","35548","AL","Brilliant, AL","0100700",1558,0.012 
"01","00700","35549","AL","Carbon Hill, AL","0100700",332,0.003 
"01","00700","35552","AL","Detroit, AL","0100700",1044,0.008 
"01","00700","35554","AL","Eldridge, AL","0100700",732,0.006 
"01","00700","35555","AL","Fayette, AL","0100700",9987,0.078 
"01","00700","35559","AL","Glen Allen, AL","0100700",57,0 
"01","00700","35563","AL","Guin, AL","0100700",4340,0.034 
"01","00700","35564","AL","Hackleburg, AL","0100700",2361,0.018 
"01","00700","35565","AL","Haleyville, AL","0100700",3682,0.029 
"01","00700","35570","AL","Hamilton, AL","0100700",11145,0.087 
"01","00700","35571","AL","Hodges, AL","0100700",895,0.007 
"01","00700","35574","AL","Kennedy, AL","0100700",1498,0.012 
"01","00700","35576","AL","Millport, AL","0100700",3217,0.025 
"01","00700","35581","AL","Phil Campbell, AL","0100700",5778,0.045 
"01","00700","35582","AL","Red Bay, AL","0100700",4093,0.032 
"01","00700","35585","AL","Spruce Pine, AL","0100700",1418,0.011 
"01","00700","35586","AL","Sulligent, AL","0100700",4469,0.035 
"01","00700","35592","AL","Vernon, AL","0100700",4664,0.036 
"01","00700","35593","AL","Vina, AL","0100700",1931,0.015 
"01","00700","35594","AL","Winfield, AL","0100700",7794,0.061 
"01","00700","35653","AL","Russellville, AL","0100700",10870,0.085 
"01","00700","35654","AL","Russellville, AL","0100700",7509,0.059 
"01","00700","36901","AL","Bellamy, AL","0100700",329,0.003 
"01","00700","36907","AL","Cuba, AL","0100700",1930,0.015 
"01","00700","36922","AL","Ward, AL","0100700",172,0.001 
"01","00700","36925","AL","York, AL","0100700",3115,0.024 
"01","00800","35004","AL","Moody, AL","0100800",10427,0.05 
"01","00800","35006","AL","Adger, AL","0100800",42,0 
"01","00800","35013","AL","Allgood, AL","0100800",124,0.001 
"01","00800","35016","AL","Arab, AL","0100800",298,0.001 
"01","00800","35031","AL","Blountsville, AL","0100800",7933,0.038 
"01","00800","35033","AL","Bremen, AL","0100800",310,0.001 
"01","00800","35049","AL","Cleveland, AL","0100800",3996,0.019 
"01","00800","35052","AL","Cook Springs, AL (PO Boxes)","0100800",277,0.001 
"01","00800","35054","AL","Cropwell, AL","0100800",4101,0.02 
"01","00800","35062","AL","Dora, AL","0100800",2551,0.012 
"01","00800","35063","AL","Empire, AL","0100800",3620,0.017 
"01","00800","35079","AL","Hayden, AL","0100800",8800,0.042 
"01","00800","35094","AL","Leeds, AL","0100800",3213,0.015 
"01","00800","35097","AL","Locust Fork, AL","0100800",1748,0.008 
"01","00800","35112","AL","Margaret, AL","0100800",801,0.004 
"01","00800","35120","AL","Odenville, AL","0100800",13842,0.067 
