statefip,puma,mpop2000,pumapop2000,mpopshare2000,metropuma03,mpop2010,pumapop2010,mpopshare2010,metropuma13
1,100,142950,182236,0.7844207,1,147137,186695,0.7881143,1
1,200,132187,132187,1,1,171821,171821,1,1
1,301,93764,93764,1,1,118924,118924,1,1
1,302,99227,99227,1,1,101522,101522,1,1
1,400,0,118378,0,0,0,124336,0,0
1,500,17198,99429,0.172966,0,25326,118345,0.2140014,0
1,600,145867,145867,1,1,153829,153829,1,1
1,700,0,102326,0,0,0,104890,0,0
1,800,115766,115766,1,1,140915,140915,1,1
1,900,103459,103459,1,1,104430,104430,1,1
1,1000,0,155065,0,0,0,160097,0,0
1,1100,112249,112249,1,1,118572,118572,1,1
1,1200,143292,143292,1,1,195085,195085,1,1
1,1301,123234,123234,1,1,100833,100833,1,1
1,1302,117168,117168,1,1,102098,102098,1,1
1,1303,154130,154130,1,1,170145,170145,1,1
1,1304,163626,163626,1,1,174673,174673,1,1
1,1305,103892,103892,1,1,110717,110717,1,1
1,1400,70712,128262,0.5513098,1,67023,121750,0.5504969,1
1,1500,66590,87539,0.7606884,1,103773,103773,1,1
1,1600,98285,98285,1,1,110629,110629,1,1
1,1700,47986,143552,0.3342771,0,38675,136921,0.2824621,0
1,1800,39593,129857,0.3048964,0,43643,131013,0.3331196,0
1,1900,115192,115192,1,1,140247,140247,1,1
1,2000,192071,192071,1,1,196534,196534,1,1
1,2100,154457,154457,1,1,178002,178002,1,1
1,2200,0,151919,0,0,0,143558,0,0
1,2300,0,116310,0,0,0,122566,0,0
1,2400,49656,144114,0.3445594,0,52947,145669,0.3634747,0
1,2500,130861,179990,0.7270451,1,145639,195890,0.7434734,1
1,2600,0,140415,0,0,182265,182265,1,1
1,2701,128632,128632,1,1,110765,110765,1,1
1,2702,103806,103806,1,1,107285,107285,1,1
1,2703,167405,167405,1,1,194942,194942,1,1
2,101,118678,118678,1,1,132542,132542,1,1
2,102,141605,141605,1,1,159284,159284,1,1
2,200,59322,109013,0.5441737,1,88995,144395,0.6163302,1
2,300,82840,149146,0.5554304,1,97581,164300,0.5939196,1
2,400,0,108490,0,0,0,109710,0,0
4,100,13047,13047,1,1,111283,111283,1,1
4,101,89630,89630,1,1,146304,146304,1,1
4,102,136291,136291,1,1,131113,131113,1,1
4,103,112854,112854,1,1,106091,106091,1,1
4,104,97722,97722,1,1,100229,100229,1,1
4,105,114750,114750,1,1,135319,135319,1,1
4,106,108377,108377,1,1,114036,114036,1,1
4,107,40610,40610,1,1,100430,100430,1,1
4,108,103976,103976,1,1,101048,101048,1,1
4,109,99395,99395,1,1,102150,102150,1,1
4,110,124360,124360,1,1,116958,116958,1,1
4,111,93834,93834,1,1,104877,104877,1,1
4,112,68594,68594,1,1,105478,105478,1,1
4,113,110414,110414,1,1,102189,102189,1,1
4,114,104380,104380,1,1,103639,103639,1,1
4,115,105184,105184,1,1,101757,101757,1,1
4,116,108575,108575,1,1,100212,100212,1,1
4,117,106340,106340,1,1,100444,100444,1,1
4,118,121783,121783,1,1,108714,108714,1,1
4,119,81463,81463,1,1,105514,105514,1,1
4,120,94851,94851,1,1,100182,100182,1,1
4,121,52048,52048,1,1,123745,123745,1,1
4,122,109560,109560,1,1,104327,104327,1,1
4,123,94858,94858,1,1,108404,108404,1,1
4,124,90208,90208,1,1,100367,100367,1,1
4,125,103937,103937,1,1,101932,101932,1,1
4,126,125073,125073,1,1,121841,121841,1,1
4,127,98835,98835,1,1,113447,113447,1,1
4,128,90176,90176,1,1,103065,103065,1,1
4,129,33758,33758,1,1,105818,105818,1,1
4,130,87327,87327,1,1,116222,116222,1,1
4,131,21714,21714,1,1,103540,103540,1,1
4,132,33927,33927,1,1,102571,102571,1,1
4,133,53073,53073,1,1,103989,103989,1,1
4,134,41225,41225,1,1,109882,109882,1,1
4,201,82087,82087,1,1,101172,101172,1,1
4,202,82828,82828,1,1,115321,115321,1,1
4,203,97909,97909,1,1,109462,109462,1,1
4,204,101978,101978,1,1,104434,104434,1,1
4,205,57630,57630,1,1,122285,122285,1,1
4,206,101518,101518,1,1,102159,102159,1,1
4,207,100121,100121,1,1,101927,101927,1,1
4,208,98540,98540,1,1,108063,108063,1,1
4,209,121135,121135,1,1,115440,115440,1,1
4,300,0,166893,0,0,0,178967,0,0
4,400,116320,116320,1,1,134421,134421,1,1
4,500,167517,167517,1,1,211033,211033,1,1
4,600,0,174747,0,0,200186,220675,0.9071531,1
4,700,160026,160026,1,1,195751,195751,1,1
4,800,13092,106463,0.1229721,0,10860,110114,0.0986251,0
4,803,51947,51947,1,1,123512,123512,1,1
4,805,60809,60809,1,1,114145,114145,1,1
4,807,53879,53879,1,1,127253,127253,1,1
4,900,0,156136,0,0,131346,178766,0.734737,1
5,100,153327,153327,1,1,221339,221339,1,1
5,200,157794,157794,1,1,203065,203065,1,1
5,300,14243,144943,0.098266,0,15717,154757,0.1015592,0
5,400,0,127980,0,0,0,135511,0,0
5,500,72200,163109,0.4426478,0,86730,180287,0.4810663,0
5,600,60814,112793,0.5391647,1,60615,107095,0.5659928,1
5,700,25614,123748,0.2069852,0,24583,111041,0.2213867,0
5,800,0,103863,0,0,0,111048,0,0
5,900,181834,181834,1,1,197726,197726,1,1
5,1000,179647,179647,1,1,185022,185022,1,1
5,1100,138842,138842,1,1,181593,181593,1,1
5,1200,83522,83522,1,1,107118,107118,1,1
5,1300,10209,128934,0.07918,0,10445,141197,0.0739747,0
5,1400,168318,168318,1,1,187692,187692,1,1
5,1500,17771,101540,0.1750172,0,0,103220,0,0
5,1600,88068,151212,0.5824155,1,96024,161429,0.5948374,1
5,1700,100742,113001,0.8915142,1,95288,106729,0.8928033,1
5,1800,23063,116543,0.1978926,0,22823,107079,0.2131417,0
5,1900,0,114976,0,0,0,105795,0,0
5,2000,40443,107475,0.3763017,0,56633,107175,0.5284162,1
6,101,119187,119187,1,1,131119,131119,1,1
6,102,157018,157018,1,1,158091,158091,1,1
6,103,125521,125521,1,1,125229,125229,1,1
6,104,131488,131488,1,1,124608,124608,1,1
6,105,156257,156257,1,1,163534,163534,1,1
6,106,130426,130426,1,1,134752,134752,1,1
6,107,140428,140428,1,1,145655,145655,1,1
6,108,130230,130230,1,1,135402,135402,1,1
6,109,181531,181531,1,1,189764,189764,1,1
6,110,171652,171652,1,1,202117,202117,1,1
6,300,0,182522,0,0,0,191208,0,0
