statefip,puma,superpuma,mpop2000,pumapop2000,mpopshare2000,metropuma03
1,"00100","01300",142950,142950,1,1
1,"00200","01100",157952,157952,1,1
1,"00300","01100",184424,184424,1,1
1,"00400","01200",0,118378,0,0
1,"00500","01100",0,184557,0,0
1,"00600","01100",145867,145867,1,1
1,"00700","01300",0,132583,0,0
1,"00800","01701",186479,186479,1,1
1,"00901","01702",103629,103629,1,1
1,"00902","01702",123233,123233,1,1
1,"00903","01702",154204,154204,1,1
1,"00904","01702",177089,177089,1,1
1,"00905","01701",103892,103892,1,1
1,"01000","01200",103459,103459,1,1
1,"01100","01200",0,155066,0,0
1,"01200","01200",112249,112249,1,1
1,"01300","01701",143293,143293,1,1
1,"01400","01300",164875,164875,1,1
1,"01500","01300",47985,128750,.372699,0
1,"01600","01500",39593,129853,.3049063,0
1,"01700","01400",115092,115092,1,1
1,"01800","01400",66066,195592,.3377745,0
1,"01900","01500",201568,201568,1,1
1,"02000","01500",131487,131487,1,1
1,"02100","01600",13473,165395,.0814595,0
1,"02200","01600",198915,198915,1,1
1,"02300","01600",200928,200928,1,1
1,"02400","01600",0,140415,0,0
1,"02500","01400",25764,107010,.2407625,0
1,"02600","01400",88787,137916,.6437759,1
2,"00101","02100",118678,118678,1,1
2,"00102","02100",141605,141605,1,1
2,"00200","02100",59322,109013,.5441737,1
2,"00300","02100",82840,157110,.5272739,1
2,"00400","02100",0,100526,0,0
4,"00101","04301",102745,102745,1,1
4,"00102","04301",109336,109336,1,1
4,"00103","04302",174453,174453,1,1
4,"00104","04302",188935,188935,1,1
4,"00105","04303",152743,152743,1,1
4,"00106","04303",100324,100324,1,1
4,"00107","04302",146150,146150,1,1
4,"00108","04301",116247,116247,1,1
4,"00109","04301",120787,120787,1,1
4,"00110","04301",103499,103499,1,1
4,"00111","04305",169069,169069,1,1
4,"00112","04304",170752,170752,1,1
4,"00113","04304",103984,103984,1,1
4,"00114","04303",183523,183523,1,1
4,"00115","04303",152860,152860,1,1
4,"00116","04306",163902,163902,1,1
4,"00117","04304",143876,143876,1,1
4,"00118","04305",148303,148303,1,1
4,"00119","04305",104352,104352,1,1
4,"00120","04306",189676,189676,1,1
4,"00121","04306",126516,126516,1,1
4,"00122","04306",100117,100117,1,1
4,"00201","04402",130097,130097,1,1
4,"00202","04401",107604,107604,1,1
4,"00203","04401",101880,101880,1,1
4,"00204","04402",136739,136739,1,1
4,"00205","04401",100961,100961,1,1
4,"00206","04401",107307,107307,1,1
4,"00207","04402",159158,159158,1,1
4,"00300","04100",0,166893,0,0
4,"00400","04100",116320,116320,1,1
4,"00500","04100",167517,167517,1,1
4,"00600","04100",0,174747,0,0
4,"00700","04100",160026,160026,1,1
4,"00800","04200",179727,231062,.7778302,1
4,"00900","04200",0,198172,0,0
5,"00100","05100",153406,153406,1,1
5,"00200","05100",157715,157715,1,1
5,"00300","05100",14243,144943,.0982662,0
5,"00400","05200",0,127980,0,0
5,"00500","05200",82148,173057,.4746875,0
5,"00600","05200",50866,102845,.4945889,0
5,"00700","05200",25614,113494,.2256859,0
5,"00800","05200",0,114117,0,0
5,"00900","05300",183133,183133,1,1
5,"01000","05300",178341,178341,1,1
5,"01100","05300",222371,222371,1,1
5,"01200","05400",10209,128934,.07918,0
5,"01300","05400",168318,168318,1,1
5,"01400","05400",17771,101539,.1750165,0
5,"01500","05400",88068,151212,.5824141,1
5,"01600","05500",100742,121491,.8292137,1
5,"01700","05500",23063,108053,.2134416,0
5,"01800","05500",0,114976,0,0
5,"01900","05500",40443,107475,.3763015,0
6,"00100","06010",0,115085,0,0
6,"00200","06010",0,126518,0,0
6,"00300","06010",163256,163256,1,1
6,"00400","06020",0,144574,0,0
6,"00500","06020",0,114318,0,0
6,"00600","06020",203171,203171,1,1
6,"00700","06030",0,116412,0,0
6,"00800","06030",139149,139149,1,1
6,"00900","06030",168660,168660,1,1
6,"01000","06050",124279,124279,1,1
6,"01101","06040",177541,177541,1,1
6,"01102","06040",115251,115251,1,1
6,"01103","06040",165822,165822,1,1
6,"01201","06040",100916,100916,1,1
6,"01202","06040",146373,146373,1,1
6,"01301","06050",146849,146849,1,1
6,"01302","06050",126603,126603,1,1
6,"01303","06050",121090,121090,1,1
6,"01401","06060",127590,127590,1,1
6,"01402","06060",108826,108826,1,1
6,"01403","06060",170602,170602,1,1
6,"01501","06071",133925,133925,1,1
6,"01502","06071",106738,106738,1,1
6,"01503","06072",142880,142880,1,1
6,"01504","06071",169571,169571,1,1
6,"01505","06072",162285,162285,1,1
6,"01506","06072",101082,101082,1,1
6,"01601","06080",135702,135702,1,1
6,"01602","06080",112697,112697,1,1
6,"01700","06080",156299,156299,1,1
6,"01800","06090",0,179291,0,0
6,"01901","06100",110315,110315,1,1
6,"01902","06100",133456,133456,1,1
6,"02001","06100",149825,149825,1,1
